,Source,Target,Weight,Type
1,AnneBronte_Tenant,novel_oct3,1,undirected
2,AnneBronte_Tenant,novel_oct4,3,undirected
3,AnneBronte_Tenant,novel_oct5,2,undirected
4,main_oct1,main_oct3,4,undirected
5,main_oct1,main_oct5,3,undirected
6,main_oct1,main_oct7,1,undirected
7,main_oct1,novel_oct1,1,undirected
8,main_oct1,novel_oct4,3,undirected
9,main_oct2,main_oct3,1,undirected
10,main_oct2,main_oct5,3,undirected
11,main_oct2,novel_oct3,2,undirected
12,main_oct3,main_oct1,4,undirected
13,main_oct3,main_oct2,1,undirected
14,main_oct3,main_oct4,2,undirected
15,main_oct3,main_oct5,5,undirected
16,main_oct3,main_oct6,3,undirected
17,main_oct3,main_oct7,3,undirected
18,main_oct4,main_oct3,2,undirected
19,main_oct4,main_oct5,4,undirected
20,main_oct4,novel_oct3,4,undirected
21,main_oct5,main_oct1,3,undirected
22,main_oct5,main_oct2,3,undirected
23,main_oct5,main_oct3,5,undirected
24,main_oct5,main_oct4,4,undirected
25,main_oct5,main_oct6,1,undirected
26,main_oct5,main_oct7,2,undirected
27,main_oct5,novel_oct3,6,undirected
28,main_oct5,novel_oct6,3,undirected
29,main_oct6,main_oct3,3,undirected
30,main_oct6,main_oct5,1,undirected
31,main_oct6,novel_oct3,2,undirected
32,main_oct7,main_oct1,1,undirected
33,main_oct7,main_oct3,3,undirected
34,main_oct7,main_oct5,2,undirected
35,novel_oct1,main_oct1,1,undirected
36,novel_oct1,novel_oct2,3,undirected
37,novel_oct1,novel_oct5,6,undirected
38,novel_oct1,novel_oct6,4,undirected
39,novel_oct2,novel_oct1,3,undirected
40,novel_oct2,novel_oct4,2,undirected
41,novel_oct2,novel_oct5,5,undirected
42,novel_oct3,AnneBronte_Tenant,1,undirected
43,novel_oct3,main_oct2,2,undirected
44,novel_oct3,main_oct4,4,undirected
45,novel_oct3,main_oct5,6,undirected
46,novel_oct3,main_oct6,2,undirected
47,novel_oct3,novel_oct6,1,undirected
48,novel_oct4,AnneBronte_Tenant,3,undirected
49,novel_oct4,main_oct1,3,undirected
50,novel_oct4,novel_oct2,2,undirected
51,novel_oct4,novel_oct5,3,undirected
52,novel_oct5,AnneBronte_Tenant,2,undirected
53,novel_oct5,novel_oct1,6,undirected
54,novel_oct5,novel_oct2,5,undirected
55,novel_oct5,novel_oct4,3,undirected
56,novel_oct5,novel_oct6,1,undirected
57,novel_oct6,main_oct5,3,undirected
58,novel_oct6,novel_oct1,4,undirected
59,novel_oct6,novel_oct3,1,undirected
60,novel_oct6,novel_oct5,1,undirected
