,Source,Target,Weight,Type
1,Dostoevsky_BednieLyudi,Dostoevsky_Besy,4,undirected
2,Dostoevsky_BednieLyudi,Dostoevsky_PrestuplenieINakazanie,5,undirected
3,Dostoevsky_BednieLyudi,Dostoevsky_UnijennieIOskorblennie,7,undirected
4,Dostoevsky_BednieLyudi,Goncharov_ObyknovennayaIstoriya,2,undirected
5,Dostoevsky_Besy,Dostoevsky_BednieLyudi,4,undirected
6,Dostoevsky_Besy,Dostoevsky_PrestuplenieINakazanie,18,undirected
7,Dostoevsky_Besy,Dostoevsky_UnijennieIOskorblennie,12,undirected
8,Dostoevsky_Besy,Turgenev_Dym,3,undirected
9,Dostoevsky_PrestuplenieINakazanie,Dostoevsky_BednieLyudi,5,undirected
10,Dostoevsky_PrestuplenieINakazanie,Dostoevsky_Besy,18,undirected
11,Dostoevsky_PrestuplenieINakazanie,Dostoevsky_UnijennieIOskorblennie,15,undirected
12,Dostoevsky_PrestuplenieINakazanie,Goncharov_ObyknovennayaIstoriya,1,undirected
13,Dostoevsky_PrestuplenieINakazanie,Turgenev_Dym,1,undirected
14,Dostoevsky_PrestuplenieINakazanie,Turgenev_OtsyIDeti,1,undirected
15,Dostoevsky_UnijennieIOskorblennie,Dostoevsky_BednieLyudi,7,undirected
16,Dostoevsky_UnijennieIOskorblennie,Dostoevsky_Besy,12,undirected
17,Dostoevsky_UnijennieIOskorblennie,Dostoevsky_PrestuplenieINakazanie,15,undirected
18,Dostoevsky_UnijennieIOskorblennie,Goncharov_ObyknovennayaIstoriya,2,undirected
19,Dostoevsky_UnijennieIOskorblennie,Tolstoy_SemeynoeShastye,5,undirected
20,Dostoevsky_UnijennieIOskorblennie,Turgenev_OtsyIDeti,1,undirected
21,Goncharov_Oblomov,Goncharov_Obryv,18,undirected
22,Goncharov_Oblomov,Goncharov_ObyknovennayaIstoriya,15,undirected
23,Goncharov_Oblomov,Turgenev_OtsyIDeti,3,undirected
24,Goncharov_Obryv,Goncharov_Oblomov,18,undirected
25,Goncharov_Obryv,Goncharov_ObyknovennayaIstoriya,12,undirected
26,Goncharov_Obryv,Turgenev_DvoryanskoeGnezdo,3,undirected
27,Goncharov_Obryv,Turgenev_Dym,4,undirected
28,Goncharov_Obryv,Turgenev_OtsyIDeti,4,undirected
29,Goncharov_ObyknovennayaIstoriya,Dostoevsky_BednieLyudi,2,undirected
30,Goncharov_ObyknovennayaIstoriya,Dostoevsky_PrestuplenieINakazanie,1,undirected
31,Goncharov_ObyknovennayaIstoriya,Dostoevsky_UnijennieIOskorblennie,2,undirected
32,Goncharov_ObyknovennayaIstoriya,Goncharov_Oblomov,15,undirected
33,Goncharov_ObyknovennayaIstoriya,Goncharov_Obryv,12,undirected
34,Goncharov_ObyknovennayaIstoriya,Turgenev_OtsyIDeti,4,undirected
35,Tolstoy_AnnaKarenina,Tolstoy_SemeynoeShastye,7,undirected
36,Tolstoy_AnnaKarenina,Tolstoy_VoinaIMir,13,undirected
37,Tolstoy_AnnaKarenina,Tolstoy_Voskresenie,18,undirected
38,Tolstoy_AnnaKarenina,Turgenev_Dym,2,undirected
39,Tolstoy_AnnaKarenina,Turgenev_OtsyIDeti,1,undirected
40,Tolstoy_SemeynoeShastye,Dostoevsky_UnijennieIOskorblennie,5,undirected
41,Tolstoy_SemeynoeShastye,Tolstoy_AnnaKarenina,7,undirected
42,Tolstoy_SemeynoeShastye,Tolstoy_Voskresenie,6,undirected
43,Tolstoy_VoinaIMir,Tolstoy_AnnaKarenina,13,undirected
44,Tolstoy_VoinaIMir,Tolstoy_Voskresenie,14,undirected
45,Tolstoy_VoinaIMir,Turgenev_Dym,2,undirected
46,Tolstoy_VoinaIMir,Turgenev_OtsyIDeti,1,undirected
47,Tolstoy_Voskresenie,Tolstoy_AnnaKarenina,18,undirected
48,Tolstoy_Voskresenie,Tolstoy_SemeynoeShastye,6,undirected
49,Tolstoy_Voskresenie,Tolstoy_VoinaIMir,14,undirected
50,Tolstoy_Voskresenie,Turgenev_Dym,2,undirected
51,Tolstoy_Voskresenie,Turgenev_OtsyIDeti,1,undirected
52,Turgenev_DvoryanskoeGnezdo,Goncharov_Obryv,3,undirected
53,Turgenev_DvoryanskoeGnezdo,Turgenev_Dym,12,undirected
54,Turgenev_DvoryanskoeGnezdo,Turgenev_OtsyIDeti,15,undirected
55,Turgenev_Dym,Dostoevsky_Besy,3,undirected
56,Turgenev_Dym,Dostoevsky_PrestuplenieINakazanie,1,undirected
57,Turgenev_Dym,Goncharov_Obryv,4,undirected
58,Turgenev_Dym,Tolstoy_AnnaKarenina,2,undirected
59,Turgenev_Dym,Tolstoy_VoinaIMir,2,undirected
60,Turgenev_Dym,Tolstoy_Voskresenie,2,undirected
61,Turgenev_Dym,Turgenev_DvoryanskoeGnezdo,12,undirected
62,Turgenev_Dym,Turgenev_OtsyIDeti,18,undirected
63,Turgenev_OtsyIDeti,Dostoevsky_PrestuplenieINakazanie,1,undirected
64,Turgenev_OtsyIDeti,Dostoevsky_UnijennieIOskorblennie,1,undirected
65,Turgenev_OtsyIDeti,Goncharov_Oblomov,3,undirected
66,Turgenev_OtsyIDeti,Goncharov_Obryv,4,undirected
67,Turgenev_OtsyIDeti,Goncharov_ObyknovennayaIstoriya,4,undirected
68,Turgenev_OtsyIDeti,Tolstoy_AnnaKarenina,1,undirected
69,Turgenev_OtsyIDeti,Tolstoy_VoinaIMir,1,undirected
70,Turgenev_OtsyIDeti,Tolstoy_Voskresenie,1,undirected
71,Turgenev_OtsyIDeti,Turgenev_DvoryanskoeGnezdo,15,undirected
72,Turgenev_OtsyIDeti,Turgenev_Dym,18,undirected
