,Source,Target,Weight,Type
1,A_beautiful_mind_script,fight_club_script,5,undirected
2,A_beautiful_mind_script,Remember_script,14,undirected
3,A_beautiful_mind_script,Secret_window_script,28,undirected
4,A_beautiful_mind_script,Seven_script,15,undirected
5,A_beautiful_mind_script,Shutter_island_script,13,undirected
6,fight_club_script,A_beautiful_mind_script,5,undirected
7,fight_club_script,Secret_window_script,13,undirected
8,fight_club_script,Seven_script,2,undirected
9,fight_club_script,Shutter_island_script,10,undirected
10,Remember_script,A_beautiful_mind_script,14,undirected
11,Remember_script,Secret_window_script,23,undirected
12,Remember_script,Seven_script,8,undirected
13,Remember_script,Shutter_island_script,11,undirected
14,Secret_window_script,A_beautiful_mind_script,28,undirected
15,Secret_window_script,fight_club_script,13,undirected
16,Secret_window_script,Remember_script,23,undirected
17,Secret_window_script,Seven_script,16,undirected
18,Secret_window_script,Shutter_island_script,19,undirected
19,Seven_script,A_beautiful_mind_script,15,undirected
20,Seven_script,fight_club_script,2,undirected
21,Seven_script,Remember_script,8,undirected
22,Seven_script,Secret_window_script,16,undirected
23,Seven_script,Shutter_island_script,3,undirected
24,Shutter_island_script,A_beautiful_mind_script,13,undirected
25,Shutter_island_script,fight_club_script,10,undirected
26,Shutter_island_script,Remember_script,11,undirected
27,Shutter_island_script,Secret_window_script,19,undirected
28,Shutter_island_script,Seven_script,3,undirected
