"A_beautiful_mind_script" "fight_club_script" "Remember_script" "Secret_window_script" "Seven_script" "Shutter_island_script"
"а" 0.601443464314354 0.89862398202752 0.436908353271611 0.732064421669107 0.816430667176936 0.909842845326716
"абсолютно" 0 0.00936066647945334 0.0104025798398003 0.0183016105417277 0.0510269166985585 0
"аварийный" 0 0.00936066647945334 0 0 0 0
"автобус" 0 0.02808199943836 0 0 0 0
"автомобильный" 0 0 0.0104025798398003 0 0 0
"ага" 0 0.00936066647945334 0.0208051596796005 0 0.0382701875239189 0.0310173697270471
"ад" 0 0.00936066647945334 0 0 0 0
"адрес" 0.0133654103180968 0.00936066647945334 0.0208051596796005 0 0.0127567291746396 0
"азотной" 0 0.00936066647945334 0 0 0 0
"ай" 0 0 0.0104025798398003 0 0 0.010339123242349
"аккуратно" 0 0 0 0 0.0127567291746396 0
"алло" 0.0133654103180968 0.0468033323972667 0 0.0366032210834553 0.0127567291746396 0.0310173697270471
"альтер" 0 0.00936066647945334 0 0 0 0
"американской" 0.0133654103180968 0 0 0 0 0.010339123242349
"америке" 0.0133654103180968 0 0 0 0 0.010339123242349
"америки" 0.0267308206361935 0 0 0 0 0
"амитала" 0 0 0 0 0 0.010339123242349
"анджелеса" 0 0.00936066647945334 0 0 0 0
"арахисовым" 0 0 0 0 0.0127567291746396 0
"армию" 0 0.02808199943836 0 0 0 0
"аромат" 0.0133654103180968 0 0 0 0 0
"асфальту" 0 0 0.0208051596796005 0 0 0
"ах" 0.0400962309542903 0.00936066647945334 0.0624154790388016 0 0.0255134583492792 0.010339123242349
"аэропорту" 0 0.00936066647945334 0 0 0 0
"багажа" 0 0.00936066647945334 0 0 0 0
"багажник" 0 0 0 0 0.0127567291746396 0
"баланс" 0 0.00936066647945334 0 0 0 0
"банке" 0 0.00936066647945334 0 0 0 0
"банкетах" 0 0.0187213329589067 0 0 0 0
"бар" 0 0.00936066647945334 0.0416103193592011 0 0.0127567291746396 0.010339123242349
"барахла" 0 0.00936066647945334 0 0 0 0
"баре" 0 0 0.0104025798398003 0 0 0
"бачок" 0 0 0.0104025798398003 0 0 0
"беги" 0 0.02808199943836 0 0 0 0.010339123242349
"беда" 0 0.00936066647945334 0 0 0 0
"бежать" 0 0 0 0.0183016105417277 0 0
"бежит" 0 0 0 0 0.0127567291746396 0
"без" 0.0668270515904838 0.0936066647945334 0.0520128991990014 0 0.0382701875239189 0.0930521091811414
"безопасности" 0.0267308206361935 0.00936066647945334 0.0104025798398003 0.0183016105417277 0 0
"безразличен" 0.0133654103180968 0 0 0 0 0
"безумие" 0 0.00936066647945334 0 0 0.0127567291746396 0.010339123242349
"безумно" 0 0 0 0 0 0.0310173697270471
"безумный" 0 0 0 0 0 0.010339123242349
"бейте" 0 0.0187213329589067 0 0 0 0
"белый" 0 0.00936066647945334 0.0104025798398003 0 0.0127567291746396 0
"белье" 0 0.00936066647945334 0 0 0 0
"бензин" 0 0.00936066647945334 0 0 0 0
"бензином" 0 0 0 0.0183016105417277 0 0
"берег" 0 0 0 0 0 0.0206782464846981
"беру" 0 0.00936066647945334 0 0 0 0
"берут" 0.0133654103180968 0 0 0 0.0127567291746396 0
"бесплатно" 0 0.02808199943836 0 0 0 0
"бесполезно" 0 0.00936066647945334 0 0 0 0
"беспомощен" 0 0 0.0104025798398003 0 0 0
"би" 0 0 0.0104025798398003 0 0 0
"билет" 0 0.00936066647945334 0 0 0 0
"биологию" 0 0.00936066647945334 0 0 0 0
"бить" 0 0 0 0 0.0255134583492792 0
"благодарю" 0.0534616412723871 0 0.0312077395194008 0.0183016105417277 0.0127567291746396 0.0206782464846981
"бледный" 0 0 0 0.0183016105417277 0 0
"блестят" 0 0.00936066647945334 0 0 0 0
"блестящий" 0.0133654103180968 0 0 0 0 0
"блин" 0 0 0 0 0.0255134583492792 0.0206782464846981
"блока" 0 0 0 0 0 0.0206782464846981
"блудный" 0.0133654103180968 0 0 0 0 0
"блю" 0 0.00936066647945334 0 0 0 0
"боб" 0 0.1404099971918 0 0 0 0
"боба" 0 0.0187213329589067 0 0 0 0
"бобин" 0 0.0187213329589067 0 0 0 0
"бобу" 0 0.0187213329589067 0 0 0 0
"бог" 0 0.00936066647945334 0 0.0183016105417277 0 0.0310173697270471
"бога" 0.0133654103180968 0 0.0104025798398003 0 0.0127567291746396 0.010339123242349
"богатой" 0.0133654103180968 0 0 0 0 0
"богатство" 0 0.00936066647945334 0 0 0 0
"богатым" 0 0.00936066647945334 0 0 0 0
"боге" 0 0.00936066647945334 0 0 0 0
"богом" 0.0133654103180968 0.0187213329589067 0 0.0183016105417277 0 0
"бодрствует" 0 0.00936066647945334 0 0 0 0
"боец" 0 0.00936066647945334 0 0 0 0
"боже" 0.0267308206361935 0.177852663109613 0.0728180588786019 0.054904831625183 0.0637836458731981 0.155086848635236
"божьи" 0 0.00936066647945334 0 0 0 0
"божья" 0 0 0 0 0.0127567291746396 0
"боишься" 0.0133654103180968 0.00936066647945334 0 0.0183016105417277 0.0127567291746396 0
"бой" 0 0.0468033323972667 0 0 0 0
"бойскаутом" 0 0.00936066647945334 0 0 0 0
"бойся" 0 0 0.0104025798398003 0 0 0
"бойцовский" 0 0.0655246653561734 0 0 0 0
"бойцовского" 0 0.02808199943836 0 0 0 0
"бойцовском" 0 0.0468033323972667 0 0 0 0
"более" 0 0.0187213329589067 0.0520128991990014 0 0.0127567291746396 0.0206782464846981
"болезни" 0.0133654103180968 0 0.0624154790388016 0 0 0.0206782464846981
"болезнь" 0.0133654103180968 0 0.135233537917404 0 0 0
"боли" 0 0.00936066647945334 0 0 0.0127567291746396 0.0413564929693962
"боль" 0.0267308206361935 0.0374426659178133 0.0104025798398003 0 0 0.0516956162117452
"больницу" 0.0133654103180968 0.0187213329589067 0 0 0.0127567291746396 0
"больно" 0 0.00936066647945334 0.0520128991990014 0 0 0
"больны" 0 0 0 0 0.0127567291746396 0
"больным" 0 0.00936066647945334 0 0 0 0
"больных" 0 0.02808199943836 0 0 0 0.010339123242349
"большая" 0.0400962309542903 0.02808199943836 0.0104025798398003 0.0183016105417277 0.0255134583492792 0
"больше" 0.0668270515904838 0.08424599831508 0.104025798398003 0.274524158125915 0.102053833397117 0.0206782464846981
"большее" 0 0 0.0104025798398003 0 0 0
"большие" 0.0133654103180968 0.00936066647945334 0 0 0 0
"большим" 0 0 0 0 0.0127567291746396 0
"большими" 0 0.00936066647945334 0 0 0 0
"большинство" 0 0.00936066647945334 0 0 0 0
"больших" 0 0.02808199943836 0 0 0 0
"большое" 0.0133654103180968 0 0.0104025798398003 0.0366032210834553 0.0382701875239189 0.010339123242349
"большой" 0.0267308206361935 0.0374426659178133 0.0104025798398003 0 0.0255134583492792 0
"большом" 0 0.00936066647945334 0 0 0 0
"большую" 0.0400962309542903 0.00936066647945334 0 0 0 0
"бомба" 0.0400962309542903 0.00936066647945334 0 0 0 0.0206782464846981
"бомбу" 0.0267308206361935 0 0 0 0 0
"бомбы" 0 0.00936066647945334 0 0 0 0.0310173697270471
"бороться" 0 0 0 0 0.0127567291746396 0
"босиком" 0 0 0 0 0 0.0310173697270471
"ботинки" 0 0.0187213329589067 0 0 0 0
"бою" 0 0.00936066647945334 0 0 0 0
"боюсь" 0.0267308206361935 0.0187213329589067 0 0.0366032210834553 0 0.124069478908189
"боя" 0 0.02808199943836 0 0 0 0.010339123242349
"боялся" 0.0133654103180968 0 0 0 0 0
"боятся" 0 0 0 0 0 0.010339123242349
"бояться" 0 0 0.0104025798398003 0.0183016105417277 0 0
"брать" 0 0 0 0 0.0127567291746396 0
"бриллианты" 0 0 0 0 0.0127567291746396 0
"бродил" 0 0 0 0 0 0.010339123242349
"бросает" 0 0 0.0104025798398003 0.0183016105417277 0 0
"бросил" 0.0133654103180968 0.02808199943836 0 0 0 0.010339123242349
"бросить" 0 0 0 0 0.0382701875239189 0
"брюки" 0 0.00936066647945334 0.0208051596796005 0 0 0
"будем" 0.0267308206361935 0.0187213329589067 0.0208051596796005 0.0183016105417277 0.0127567291746396 0.010339123242349
"будет" 0.106923282544774 0.1404099971918 0.124830958077603 0.109809663250366 0.0892971042224774 0.134408602150538
"будете" 0 0 0 0 0.0127567291746396 0.0310173697270471
"будешь" 0.0400962309542903 0.0187213329589067 0.104025798398003 0.0366032210834553 0.0637836458731981 0.0310173697270471
"будто" 0.0133654103180968 0.0187213329589067 0.0416103193592011 0.0183016105417277 0 0.10339123242349
"буду" 0.0534616412723871 0.02808199943836 0.114428378237803 0.109809663250366 0.0765403750478377 0.0413564929693962
"будут" 0.0267308206361935 0.0187213329589067 0 0.0183016105417277 0.0255134583492792 0.0413564929693962
"будущее" 0.0267308206361935 0 0 0 0 0
"будь" 0.0133654103180968 0.0187213329589067 0.0624154790388016 0.0183016105417277 0.0255134583492792 0.010339123242349
"буквы" 0 0.00936066647945334 0 0.0183016105417277 0 0.010339123242349
"бумаг" 0.0133654103180968 0 0 0 0 0
"бумаги" 0.0267308206361935 0.00936066647945334 0.0208051596796005 0.0732064421669107 0 0
"бумажек" 0 0 0.0104025798398003 0 0 0
"бумажная" 0 0.0187213329589067 0 0 0 0
"бумажник" 0 0.0187213329589067 0 0 0.0127567291746396 0
"бумажной" 0 0 0 0 0.0127567291746396 0
"бы" 0.280673616680032 0.299541327342507 0.37449287423281 0.384333821376281 0.357188416889909 0.289495450785773
"бывает" 0.0534616412723871 0.0468033323972667 0 0.0183016105417277 0.0127567291746396 0.0206782464846981
"бывал" 0 0.0187213329589067 0.0104025798398003 0 0 0.010339123242349
"бывали" 0.0133654103180968 0 0 0 0 0
"бывшей" 0 0 0 0.0183016105417277 0 0
"бывших" 0 0 0 0 0 0.010339123242349
"был" 0.147019513499064 0.234016661986333 0.364090294393009 0.256222547584187 0.255134583492792 0.320512820512821
"была" 0.0400962309542903 0.102967331273987 0.156038697597004 0.0732064421669107 0.153080750095675 0.11373035566584
"были" 0.0133654103180968 0.0748853318356267 0.124830958077603 0.0732064421669107 0.0255134583492792 0.11373035566584
"было" 0.0801924619085806 0.159131330150707 0.301674815354208 0.274524158125915 0.178594208444955 0.289495450785773
"быстрее" 0.0133654103180968 0.00936066647945334 0 0 0.0127567291746396 0
"быстро" 0 0.00936066647945334 0 0.0183016105417277 0.0892971042224774 0
"быть" 0.187115744453355 0.05616399887672 0.260064495995007 0.0915080527086384 0.229621125143513 0.0930521091811414
"бьет" 0 0 0.0104025798398003 0 0 0
"бьющегося" 0 0 0.0104025798398003 0 0 0
"бюро" 0 0 0 0 0.0127567291746396 0
"в" 2.27211975407645 2.19039595619208 1.57078955580984 1.86676427525622 1.78594208444955 2.191894127378
"важно" 0.0133654103180968 0.00936066647945334 0.0208051596796005 0.0366032210834553 0.0382701875239189 0.0206782464846981
"важную" 0 0.00936066647945334 0 0 0 0
"важным" 0 0 0.0104025798398003 0 0 0
"вали" 0 0.00936066647945334 0 0 0.0255134583492792 0
"валяй" 0.0133654103180968 0.02808199943836 0 0 0 0
"валялся" 0 0 0 0.0183016105417277 0 0
"валяются" 0 0.00936066647945334 0 0 0 0
"вам" 0.213846565089548 0.205934662547973 0.197649016956205 0.274524158125915 0.216864395968874 0.33085194375517
"вами" 0.0400962309542903 0.02808199943836 0.0208051596796005 0.054904831625183 0.0765403750478377 0.11373035566584
"ванной" 0 0 0.0104025798398003 0 0 0
"варить" 0 0.00936066647945334 0 0 0 0
"вас" 0.360866078588613 0.159131330150707 0.135233537917404 0.183016105417277 0.216864395968874 0.382547559966915
"ваш" 0.0400962309542903 0.0187213329589067 0.0312077395194008 0.054904831625183 0 0.0310173697270471
"ваша" 0.0400962309542903 0.00936066647945334 0 0.0183016105417277 0 0.010339123242349
"ваше" 0.0534616412723871 0 0 0.0183016105417277 0.0382701875239189 0
"вашей" 0.0668270515904838 0.00936066647945334 0.0312077395194008 0.0732064421669107 0 0.0310173697270471
"вашем" 0 0.0187213329589067 0.0104025798398003 0.0183016105417277 0 0
"ваши" 0.0534616412723871 0 0.0104025798398003 0 0.0255134583492792 0.0827129859387924
"вашингтоне" 0 0.00936066647945334 0 0 0 0
"вверх" 0 0 0 0 0.0255134583492792 0
"вдали" 0 0.00936066647945334 0 0 0 0
"вдох" 0.0133654103180968 0 0 0.0183016105417277 0 0
"вдруг" 0.0400962309542903 0.0468033323972667 0 0 0.0127567291746396 0.010339123242349
"ведет" 0 0 0 0 0.0255134583492792 0
"ведро" 0 0 0 0 0.0255134583492792 0
"веду" 0 0 0 0 0 0.010339123242349
"ведь" 0.0400962309542903 0.16849199663016 0.0728180588786019 0.054904831625183 0.140324020921036 0.165425971877585
"везде" 0 0 0 0 0 0.010339123242349
"века" 0 0 0 0 0.0127567291746396 0
"вел" 0 0.00936066647945334 0 0 0 0
"велел" 0 0 0 0 0.0127567291746396 0
"велели" 0 0 0 0 0 0.010339123242349
"вели" 0 0.00936066647945334 0 0 0 0
"великой" 0 0.0187213329589067 0.0104025798398003 0 0 0
"велят" 0 0.00936066647945334 0 0 0 0
"верили" 0 0.00936066647945334 0 0 0 0
"верит" 0 0 0.0104025798398003 0 0 0.0310173697270471
"верить" 0.0267308206361935 0 0.0520128991990014 0 0 0.0206782464846981
"верно" 0.0133654103180968 0.0374426659178133 0.104025798398003 0.0183016105417277 0.0127567291746396 0.0206782464846981
"вернулся" 0 0 0.0208051596796005 0 0 0.0310173697270471
"вернуться" 0.0267308206361935 0.0187213329589067 0.0104025798398003 0 0.0127567291746396 0.010339123242349
"вероятно" 0 0.02808199943836 0.0104025798398003 0.0366032210834553 0 0.010339123242349
"вероятность" 0 0 0 0.0183016105417277 0 0
"вертикальное" 0 0.00936066647945334 0 0 0 0
"верхнем" 0 0.0187213329589067 0 0 0 0
"верю" 0.0534616412723871 0 0.0312077395194008 0.0183016105417277 0.0127567291746396 0.0206782464846981
"весит" 0 0 0 0 0.0127567291746396 0
"вести" 0 0 0.0208051596796005 0.0183016105417277 0 0
"весть" 0 0 0 0.0183016105417277 0 0
"весь" 0.0400962309542903 0.00936066647945334 0.0104025798398003 0.054904831625183 0.0637836458731981 0.0516956162117452
"ветеринара" 0 0.00936066647945334 0 0 0 0
"ветеринаром" 0 0.00936066647945334 0 0 0 0
"ветру" 0 0 0 0.0183016105417277 0 0
"вечер" 0 0.0187213329589067 0 0 0.0255134583492792 0.010339123242349
"вечера" 0.0133654103180968 0 0 0 0.0127567291746396 0
"вечерам" 0 0.0187213329589067 0 0 0 0
"вечеринка" 0 0 0 0.0183016105417277 0 0
"вечером" 0.0133654103180968 0.00936066647945334 0 0.0366032210834553 0.0765403750478377 0
"вещей" 0.0133654103180968 0 0.0312077395194008 0 0 0
"вещества" 0.0133654103180968 0.00936066647945334 0 0 0 0
"вещи" 0.0534616412723871 0.0187213329589067 0.0624154790388016 0.109809663250366 0.0127567291746396 0.0206782464846981
"вещь" 0 0.00936066647945334 0 0 0 0.010339123242349
"взбираешься" 0 0.00936066647945334 0 0 0 0
"взгляд" 0 0.00936066647945334 0.0416103193592011 0.0183016105417277 0 0
"взгляните" 0 0 0 0 0 0.010339123242349
"взлете" 0 0.00936066647945334 0 0 0 0
"взломать" 0 0 0 0 0.0127567291746396 0
"взорвать" 0 0.02808199943836 0 0 0 0
"взрослых" 0 0.00936066647945334 0 0 0 0
"взрыв" 0 0.0187213329589067 0 0 0 0.010339123242349
"взрыва" 0 0.00936066647945334 0 0 0 0
"взрывом" 0 0.00936066647945334 0 0 0 0
"взял" 0.0133654103180968 0 0.0208051596796005 0 0.0510269166985585 0
"взять" 0.0133654103180968 0 0.0312077395194008 0.0183016105417277 0.0127567291746396 0.010339123242349
"вибрирует" 0 0.00936066647945334 0 0 0 0
"вид" 0.0133654103180968 0.0187213329589067 0.0104025798398003 0.0183016105417277 0 0
"вида" 0 0.0187213329589067 0 0 0.0127567291746396 0
"видать" 0 0 0 0.0366032210834553 0 0
"видел" 0.0133654103180968 0.05616399887672 0.0208051596796005 0.0915080527086384 0.127567291746396 0.0413564929693962
"видела" 0.0133654103180968 0.00936066647945334 0.0208051596796005 0.0366032210834553 0.0255134583492792 0
"видели" 0.0267308206361935 0 0 0 0 0.0413564929693962
"видеть" 0.0400962309542903 0.0187213329589067 0.0104025798398003 0 0.0127567291746396 0.010339123242349
"видим" 0.0133654103180968 0 0 0 0 0
"видит" 0 0 0 0 0 0.010339123242349
"видишь" 0.0668270515904838 0.02808199943836 0.0208051596796005 0 0.0255134583492792 0.0516956162117452
"видно" 0 0.00936066647945334 0.0312077395194008 0 0 0.0206782464846981
"видны" 0 0.0187213329589067 0 0 0 0
"виду" 0.0133654103180968 0.00936066647945334 0 0 0.0255134583492792 0.010339123242349
"видят" 0 0.0187213329589067 0 0 0 0
"вижу" 0.0267308206361935 0.0468033323972667 0.0728180588786019 0.0183016105417277 0.0637836458731981 0.0206782464846981
"вина" 0 0 0 0 0.0127567291746396 0
"вине" 0 0 0 0.0183016105417277 0 0.010339123242349
"виноват" 0 0 0 0.0183016105417277 0 0
"виску" 0 0 0 0 0.0127567291746396 0
"вклеивал" 0 0.00936066647945334 0 0 0 0
"включает" 0 0.02808199943836 0 0 0 0
"включать" 0.0133654103180968 0 0 0 0 0
"включая" 0 0 0 0 0 0.010339123242349
"включить" 0 0 0.0104025798398003 0.0183016105417277 0 0
"вкус" 0.0133654103180968 0 0 0 0 0
"вкуснее" 0 0.00936066647945334 0 0 0 0
"владельца" 0 0 0 0 0.0127567291746396 0
"владельцы" 0 0 0 0.0366032210834553 0 0
"вместе" 0.0133654103180968 0.02808199943836 0.0832206387184022 0.146412884333821 0.0127567291746396 0.0206782464846981
"вместо" 0 0 0.0312077395194008 0 0 0
"внести" 0 0.00936066647945334 0 0 0 0
"внешнего" 0 0 0 0 0.0127567291746396 0
"вниз" 0 0 0.0104025798398003 0 0.0255134583492792 0.0413564929693962
"внизу" 0 0.00936066647945334 0.0104025798398003 0 0.0127567291746396 0.010339123242349
"внимание" 0.0935578722266774 0 0 0 0.0127567291746396 0
"внимания" 0.0267308206361935 0.0187213329589067 0 0 0.0127567291746396 0
"внимательно" 0 0 0 0 0.0127567291746396 0
"вновь" 0 0.00936066647945334 0 0 0 0
"внутреннее" 0 0 0 0 0.0127567291746396 0
"внутри" 0 0.00936066647945334 0.0104025798398003 0.0366032210834553 0.0127567291746396 0.0310173697270471
"внутрь" 0.0133654103180968 0 0.0208051596796005 0 0 0.010339123242349
"во" 0.0668270515904838 0.08424599831508 0.0728180588786019 0.0915080527086384 0.0510269166985585 0.10339123242349
