"coben_breaker" "coben_dropshot" "coben_fadeaway" "coben_falsemove" "coben_goneforgood" "coben_nosecondchance" "coben_tellnoone" "galbraith_cuckoos" "lewis_battle" "lewis_caspian" "lewis_chair" "lewis_horse" "lewis_lion" "lewis_nephew" "lewis_voyage" "rowling_casual" "rowling_chamber" "rowling_goblet" "rowling_hallows" "rowling_order" "rowling_prince" "rowling_prisoner" "rowling_stone" "tolkien_lord1" "tolkien_lord2" "tolkien_lord3"
"the" 3.59219938617338 3.58783607413208 3.93139246219815 3.62541100260097 3.83403060347298 4.09829336592752 4.1015555581883 4.52302745554585 5.05071319000847 4.8654723342368 4.97279147852263 4.885423951948 5.14112097225554 4.48180617269125 5.22245542382816 4.7485038034729 4.41457832032396 4.48277661795407 4.6960087479497 4.22966411603823 4.12705854773486 4.41519331649505 4.33876205036198 5.62383842694232 5.24827010337306 5.93585022847256
"and" 1.17510777792374 1.17854346123727 1.44549763033175 1.61333856799333 1.81672302137658 1.58896662440368 1.7901358892035 2.26740398874614 3.40453785745358 3.59181155108966 3.22063988267531 3.48664993623236 3.69926174675515 2.85577038549297 3.27868852459016 2.63908175930591 2.34403427431187 2.4258872651357 2.47293603061782 2.25254294582219 2.17136494168669 2.56945793666213 2.41828496342249 3.78216609863054 3.53746868709099 4.34467562811469
"to" 2.16272376607712 2.1221613155834 2.20040622884225 2.13353290474555 2.15294095172598 2.27125539309137 2.03063726942078 2.49400579324491 2.13842525814502 2.15288336528503 1.99722125738104 2.30592010531946 2.29471495962261 2.07037348384772 2.26142530300452 2.62494930750986 2.35225071893891 2.48590814196242 2.24384909786769 2.5079899204081 2.49311375490828 2.38974159704682 2.33110541144958 2.0735658257486 2.0273288065817 2.05773183680109
"of" 1.37573593513023 1.26859827721222 1.21304445948996 1.23668842322226 1.17580759164804 1.20586330508706 1.24634212802256 2.17939656008759 2.13842525814502 2.14406910380996 2.1033537879665 2.22363928086559 2.1854428186882 2.23129578479645 2.11394104411292 2.10819313531515 1.8768707083749 2.02244258872651 1.86987424822307 2.03013121907747 1.97093125476177 2.01088012434428 1.92300403047494 2.59743176547875 2.55681634291115 2.94204634517842
"a" 2.51859990207435 2.37535891412164 2.30647709320695 2.40099131373607 1.96190803675473 1.99213726044641 2.17635978058692 2.14128310673153 1.95984156421 2.1683083228664 2.35421249662306 2.32237627021023 2.10015724527598 2.31055602257716 2.24440788851703 1.76348420237671 2.00129115558425 1.79123173277662 1.44887916894478 1.79235426077871 1.8496161284651 2.07888090149602 1.98112373179021 1.91634989528296 1.83702399523591 1.73165934667199
"was" 1.50232274860575 1.56747585486818 1.32250056420673 1.37532512146047 1.73266853878923 1.75771451505505 1.41812882817776 1.65550981941153 1.51109279483481 1.35298913642273 1.40480876847671 1.40288805693833 1.34591295541164 1.5707938032905 1.58261954733677 1.6461234070269 1.4813075884735 1.42327766179541 1.12575177692728 1.38709627854092 1.39483092070562 1.38430153487468 1.48836974237811 1.31331450485404 1.08486688372635 1.13127190452952
"I" 1.44500041797533 1.49699817280084 1.33039945836154 1.3458801590028 3.813972147401 3.85474911293339 3.49852500385039 1.12677227558106 0.902076607825629 1.11500407659593 1.07290340010034 1.19512897519233 0.812878121585246 1.17929626516152 1.04751640289674 0.560996890860605 0.881507130700159 0.848643006263048 0.525423728813559 0.858532313081958 1.24772900427826 0.699436564989314 0.798514157201157 1.49242836849168 1.24669070289794 1.14014462534936
"in" 1.1763019931452 1.0401983816236 1.19837508463101 1.10909358590568 1.1309148566298 1.15113425947041 1.16222588173967 1.38039998336867 1.28442887560959 1.21196095282167 1.21377021342287 1.29798000575966 1.16201593774153 1.35462951843401 1.15340253748558 1.44335344647487 1.16790891484242 1.11691022964509 0.99507927829415 1.167757598107 1.10121315126297 1.22887118709928 1.17502874398272 1.41943525791835 1.35932008104137 1.5083625393727
"he" 0.89566141610041 0.754372226572696 1.04152561498533 0.86862639250135 0.675301354423367 0.43235946037161 0.630279479190115 1.32704114867019 1.17224168326579 0.888036843612966 0.54995947667014 1.35351956226601 1.08739106100584 1.12885793202834 0.886796377181538 1.18282476988682 1.16204002582311 1.36534446764092 1.37452159650082 1.34676254571156 1.51907636406259 1.29687196425102 1.27736995716831 1.22123088843845 1.2628730848151 1.43664137941233
"said" 0.912380429200951 1.00234925606891 1.02347099977432 0.968003140795995 0.808069230328386 0.647627039797138 0.778371462082529 0.828101395645365 1.22490097763125 1.52486723518653 1.20412180155146 1.08404986217962 1.42586818048559 1.29218205836436 1.15718418514947 0.879898737910609 1.41440225365338 1.37212943632568 0.972662657189721 1.5150118312283 1.43409716931372 1.16572760831552 1.00193311180462 0.825383634944609 0.952818647282331 0.855478165712849
