,Source,Target,Weight,Type
1,coben_breaker,coben_dropshot,12,undirected
2,coben_breaker,coben_fadeaway,8,undirected
3,coben_breaker,coben_falsemove,6,undirected
4,coben_dropshot,coben_breaker,12,undirected
5,coben_dropshot,coben_fadeaway,10,undirected
6,coben_dropshot,coben_falsemove,4,undirected
7,coben_fadeaway,coben_breaker,8,undirected
8,coben_fadeaway,coben_dropshot,10,undirected
9,coben_fadeaway,coben_falsemove,8,undirected
10,coben_fadeaway,coben_nosecondchance,1,undirected
11,coben_fadeaway,coben_tellnoone,1,undirected
12,coben_falsemove,coben_breaker,6,undirected
13,coben_falsemove,coben_dropshot,4,undirected
14,coben_falsemove,coben_fadeaway,8,undirected
15,coben_falsemove,coben_goneforgood,2,undirected
16,coben_falsemove,coben_nosecondchance,1,undirected
17,coben_falsemove,coben_tellnoone,1,undirected
18,coben_goneforgood,coben_falsemove,2,undirected
19,coben_goneforgood,coben_nosecondchance,10,undirected
20,coben_goneforgood,coben_tellnoone,12,undirected
21,coben_nosecondchance,coben_fadeaway,1,undirected
22,coben_nosecondchance,coben_falsemove,1,undirected
23,coben_nosecondchance,coben_goneforgood,10,undirected
24,coben_nosecondchance,coben_tellnoone,8,undirected
25,coben_tellnoone,coben_fadeaway,1,undirected
26,coben_tellnoone,coben_falsemove,1,undirected
27,coben_tellnoone,coben_goneforgood,12,undirected
28,coben_tellnoone,coben_nosecondchance,8,undirected
29,galbraith_cuckoos,rowling_casual,12,undirected
30,galbraith_cuckoos,rowling_order,3,undirected
31,galbraith_cuckoos,rowling_prince,3,undirected
32,lewis_battle,lewis_caspian,6,undirected
33,lewis_battle,lewis_chair,6,undirected
34,lewis_battle,lewis_horse,3,undirected
35,lewis_battle,lewis_lion,2,undirected
36,lewis_battle,lewis_nephew,2,undirected
37,lewis_battle,lewis_voyage,9,undirected
38,lewis_battle,tolkien_lord3,1,undirected
39,lewis_caspian,lewis_battle,6,undirected
40,lewis_caspian,lewis_chair,5,undirected
41,lewis_caspian,lewis_horse,6,undirected
42,lewis_caspian,lewis_lion,1,undirected
43,lewis_caspian,lewis_voyage,5,undirected
44,lewis_caspian,tolkien_lord1,2,undirected
45,lewis_caspian,tolkien_lord2,2,undirected
46,lewis_chair,lewis_battle,6,undirected
47,lewis_chair,lewis_caspian,5,undirected
48,lewis_chair,lewis_horse,1,undirected
49,lewis_chair,lewis_lion,5,undirected
50,lewis_chair,lewis_nephew,9,undirected
51,lewis_chair,lewis_voyage,12,undirected
52,lewis_horse,lewis_battle,3,undirected
53,lewis_horse,lewis_caspian,6,undirected
54,lewis_horse,lewis_chair,1,undirected
55,lewis_horse,lewis_voyage,3,undirected
56,lewis_horse,tolkien_lord3,1,undirected
57,lewis_lion,lewis_battle,2,undirected
58,lewis_lion,lewis_caspian,1,undirected
59,lewis_lion,lewis_chair,5,undirected
60,lewis_lion,lewis_voyage,4,undirected
61,lewis_nephew,lewis_battle,2,undirected
62,lewis_nephew,lewis_chair,9,undirected
63,lewis_nephew,lewis_voyage,5,undirected
64,lewis_voyage,lewis_battle,9,undirected
65,lewis_voyage,lewis_caspian,5,undirected
66,lewis_voyage,lewis_chair,12,undirected
67,lewis_voyage,lewis_horse,3,undirected
68,lewis_voyage,lewis_lion,4,undirected
69,lewis_voyage,lewis_nephew,5,undirected
70,rowling_casual,galbraith_cuckoos,12,undirected
71,rowling_casual,rowling_hallows,2,undirected
72,rowling_casual,rowling_order,2,undirected
73,rowling_casual,rowling_prince,1,undirected
74,rowling_casual,rowling_prisoner,1,undirected
75,rowling_chamber,rowling_goblet,9,undirected
76,rowling_chamber,rowling_order,4,undirected
77,rowling_chamber,rowling_prisoner,6,undirected
78,rowling_chamber,rowling_stone,11,undirected
79,rowling_goblet,rowling_chamber,9,undirected
80,rowling_goblet,rowling_hallows,4,undirected
81,rowling_goblet,rowling_order,11,undirected
82,rowling_goblet,rowling_prince,5,undirected
83,rowling_goblet,rowling_prisoner,4,undirected
84,rowling_goblet,rowling_stone,5,undirected
85,rowling_hallows,rowling_casual,2,undirected
86,rowling_hallows,rowling_goblet,4,undirected
87,rowling_hallows,rowling_order,4,undirected
88,rowling_hallows,rowling_prince,6,undirected
89,rowling_order,galbraith_cuckoos,3,undirected
90,rowling_order,rowling_casual,2,undirected
91,rowling_order,rowling_chamber,4,undirected
92,rowling_order,rowling_goblet,11,undirected
93,rowling_order,rowling_hallows,4,undirected
94,rowling_order,rowling_prince,11,undirected
95,rowling_order,rowling_stone,2,undirected
96,rowling_prince,galbraith_cuckoos,3,undirected
97,rowling_prince,rowling_casual,1,undirected
98,rowling_prince,rowling_goblet,5,undirected
99,rowling_prince,rowling_hallows,6,undirected
100,rowling_prince,rowling_order,11,undirected
101,rowling_prisoner,rowling_casual,1,undirected
102,rowling_prisoner,rowling_chamber,6,undirected
103,rowling_prisoner,rowling_goblet,4,undirected
104,rowling_prisoner,rowling_stone,2,undirected
105,rowling_stone,rowling_chamber,11,undirected
106,rowling_stone,rowling_goblet,5,undirected
107,rowling_stone,rowling_order,2,undirected
108,rowling_stone,rowling_prisoner,2,undirected
109,tolkien_lord1,lewis_caspian,2,undirected
110,tolkien_lord1,tolkien_lord2,12,undirected
111,tolkien_lord1,tolkien_lord3,9,undirected
112,tolkien_lord2,lewis_caspian,2,undirected
113,tolkien_lord2,tolkien_lord1,12,undirected
114,tolkien_lord2,tolkien_lord3,9,undirected
115,tolkien_lord3,lewis_battle,1,undirected
116,tolkien_lord3,lewis_horse,1,undirected
117,tolkien_lord3,tolkien_lord1,9,undirected
118,tolkien_lord3,tolkien_lord2,9,undirected
